Catégorie,Date de commande,Segment,Objectif de vente
Fournitures de bureau,01-01-2012,Entreprise individuelle,48
Mobilier,03-01-2012,Grand public,940
Fournitures de bureau,04-01-2012,Entreprise,40
Fournitures de bureau,04-01-2012,Grand public,131
Fournitures de bureau,05-01-2012,Entreprise individuelle,285
Mobilier,06-01-2012,Grand public,321
Fournitures de bureau,07-01-2012,Entreprise,719
Fournitures de bureau,07-01-2012,Grand public,5
Mobilier,07-01-2012,Entreprise,151
Fournitures de bureau,08-01-2012,Grand public,101
Mobilier,08-01-2012,Grand public,928
Fournitures de bureau,10-01-2012,Entreprise,220
Fournitures de bureau,11-01-2012,Grand public,308
Mobilier,11-01-2012,Grand public,1735
Fournitures de bureau,12-01-2012,Entreprise,252
Fournitures de bureau,12-01-2012,Grand public,37
Mobilier,12-01-2012,Entreprise,596
Mobilier,12-01-2012,Entreprise individuelle,247
Produits technologiques,12-01-2012,Entreprise,538
Fournitures de bureau,13-01-2012,Grand public,335
Fournitures de bureau,14-01-2012,Entreprise individuelle,244
Produits technologiques,14-01-2012,Entreprise individuelle,1009
Fournitures de bureau,15-01-2012,Entreprise,464
Mobilier,15-01-2012,Entreprise individuelle,594
Produits technologiques,15-01-2012,Entreprise,448
Fournitures de bureau,17-01-2012,Entreprise,557
Fournitures de bureau,17-01-2012,Entreprise individuelle,18
Fournitures de bureau,18-01-2012,Entreprise,100
Fournitures de bureau,18-01-2012,Grand public,27
Fournitures de bureau,19-01-2012,Entreprise,51
Fournitures de bureau,19-01-2012,Entreprise individuelle,170
Fournitures de bureau,20-01-2012,Grand public,51
Produits technologiques,21-01-2012,Grand public,515
Fournitures de bureau,22-01-2012,Entreprise,198
Fournitures de bureau,22-01-2012,Entreprise individuelle,1556
Mobilier,22-01-2012,Entreprise individuelle,735
Produits technologiques,22-01-2012,Entreprise,61
Fournitures de bureau,24-01-2012,Entreprise,12
Fournitures de bureau,24-01-2012,Entreprise individuelle,26
Fournitures de bureau,24-01-2012,Grand public,150
Mobilier,24-01-2012,Grand public,146
Produits technologiques,24-01-2012,Entreprise,562
Fournitures de bureau,25-01-2012,Entreprise,141
Fournitures de bureau,25-01-2012,Grand public,604
Mobilier,25-01-2012,Entreprise,18
Fournitures de bureau,26-01-2012,Grand public,1060
Mobilier,26-01-2012,Grand public,288
Produits technologiques,26-01-2012,Entreprise,519
Produits technologiques,26-01-2012,Grand public,93
Fournitures de bureau,28-01-2012,Grand public,26
Fournitures de bureau,01-02-2012,Entreprise,153
Fournitures de bureau,01-02-2012,Grand public,119
Fournitures de bureau,02-02-2012,Entreprise,319
Fournitures de bureau,02-02-2012,Grand public,215
Mobilier,02-02-2012,Grand public,896
Produits technologiques,02-02-2012,Entreprise,1767
Produits technologiques,02-02-2012,Grand public,735
Fournitures de bureau,03-02-2012,Entreprise individuelle,98
Fournitures de bureau,04-02-2012,Entreprise individuelle,50
Fournitures de bureau,04-02-2012,Grand public,138
Fournitures de bureau,07-02-2012,Entreprise,34
Fournitures de bureau,07-02-2012,Grand public,170
Produits technologiques,07-02-2012,Grand public,185
Fournitures de bureau,08-02-2012,Entreprise,160
Fournitures de bureau,08-02-2012,Grand public,107
Fournitures de bureau,09-02-2012,Entreprise,124
Fournitures de bureau,09-02-2012,Entreprise individuelle,265
Fournitures de bureau,09-02-2012,Grand public,199
Mobilier,09-02-2012,Entreprise,487
Mobilier,09-02-2012,Entreprise individuelle,386
Fournitures de bureau,10-02-2012,Entreprise,35
Fournitures de bureau,10-02-2012,Entreprise individuelle,325
Fournitures de bureau,10-02-2012,Grand public,51
Mobilier,10-02-2012,Entreprise,1762
Produits technologiques,10-02-2012,Grand public,203
Fournitures de bureau,14-02-2012,Grand public,36
Mobilier,15-02-2012,Entreprise,838
Mobilier,15-02-2012,Grand public,1262
Fournitures de bureau,16-02-2012,Entreprise,425
Mobilier,16-02-2012,Entreprise,4362
Produits technologiques,16-02-2012,Entreprise,338
Fournitures de bureau,18-02-2012,Entreprise,35
Fournitures de bureau,18-02-2012,Grand public,152
Produits technologiques,18-02-2012,Grand public,127
Fournitures de bureau,21-02-2012,Entreprise,18
Fournitures de bureau,21-02-2012,Grand public,246
Mobilier,21-02-2012,Grand public,1083
Produits technologiques,21-02-2012,Grand public,26
Fournitures de bureau,22-02-2012,Grand public,116
Mobilier,22-02-2012,Grand public,91
Produits technologiques,22-02-2012,Grand public,629
Mobilier,23-02-2012,Entreprise,47
Fournitures de bureau,24-02-2012,Entreprise,330
Mobilier,24-02-2012,Entreprise,2201
Produits technologiques,24-02-2012,Entreprise,546
Mobilier,26-02-2012,Grand public,459
Produits technologiques,26-02-2012,Grand public,129
Fournitures de bureau,01-03-2012,Entreprise,202
Fournitures de bureau,01-03-2012,Entreprise individuelle,269
Fournitures de bureau,01-03-2012,Grand public,576
Mobilier,01-03-2012,Entreprise,1777
Produits technologiques,01-03-2012,Entreprise,160
Produits technologiques,01-03-2012,Entreprise individuelle,47
Fournitures de bureau,03-03-2012,Entreprise individuelle,109
Fournitures de bureau,03-03-2012,Grand public,59
Fournitures de bureau,05-03-2012,Entreprise individuelle,99
Fournitures de bureau,07-03-2012,Grand public,100
Fournitures de bureau,08-03-2012,Grand public,124
Fournitures de bureau,09-03-2012,Grand public,271
Produits technologiques,09-03-2012,Grand public,118
Fournitures de bureau,10-03-2012,Entreprise,27
Mobilier,10-03-2012,Grand public,77
Produits technologiques,10-03-2012,Entreprise individuelle,458
Fournitures de bureau,11-03-2012,Entreprise,236
Fournitures de bureau,11-03-2012,Grand public,64
Fournitures de bureau,12-03-2012,Entreprise,413
Fournitures de bureau,12-03-2012,Grand public,191
Fournitures de bureau,14-03-2012,Entreprise,14
Fournitures de bureau,14-03-2012,Grand public,3183
Produits technologiques,14-03-2012,Entreprise,222
Fournitures de bureau,15-03-2012,Grand public,110
Mobilier,15-03-2012,Grand public,244
Fournitures de bureau,16-03-2012,Entreprise,78
Fournitures de bureau,17-03-2012,Entreprise,105
Fournitures de bureau,18-03-2012,Entreprise individuelle,56
Fournitures de bureau,18-03-2012,Grand public,174
Produits technologiques,19-03-2012,Grand public,327
Fournitures de bureau,21-03-2012,Entreprise,27
Fournitures de bureau,21-03-2012,Grand public,183
Mobilier,21-03-2012,Grand public,461
Produits technologiques,21-03-2012,Entreprise,702
Produits technologiques,21-03-2012,Grand public,89
Fournitures de bureau,22-03-2012,Grand public,118
Fournitures de bureau,23-03-2012,Entreprise individuelle,184
Mobilier,23-03-2012,Entreprise individuelle,654
Fournitures de bureau,24-03-2012,Entreprise individuelle,877
Produits technologiques,24-03-2012,Entreprise individuelle,209
Fournitures de bureau,25-03-2012,Entreprise individuelle,174
Fournitures de bureau,25-03-2012,Grand public,107
Produits technologiques,25-03-2012,Grand public,75
Fournitures de bureau,26-03-2012,Grand public,599
Fournitures de bureau,27-03-2012,Grand public,32
Fournitures de bureau,28-03-2012,Entreprise,84
Fournitures de bureau,28-03-2012,Grand public,55
Fournitures de bureau,29-03-2012,Entreprise individuelle,8
Fournitures de bureau,29-03-2012,Grand public,36
Mobilier,29-03-2012,Grand public,158
Produits technologiques,29-03-2012,Grand public,690
Fournitures de bureau,30-03-2012,Entreprise,51
Mobilier,30-03-2012,Entreprise,729
Produits technologiques,30-03-2012,Entreprise,600
Fournitures de bureau,31-03-2012,Grand public,492
Mobilier,31-03-2012,Entreprise,35
Mobilier,31-03-2012,Grand public,2871
Fournitures de bureau,01-04-2012,Grand public,481
Produits technologiques,01-04-2012,Entreprise,497
Produits technologiques,01-04-2012,Grand public,108
Fournitures de bureau,04-04-2012,Entreprise,181
Fournitures de bureau,04-04-2012,Grand public,83
Mobilier,04-04-2012,Entreprise,467
Fournitures de bureau,05-04-2012,Entreprise,2602
Fournitures de bureau,06-04-2012,Entreprise,26
Fournitures de bureau,06-04-2012,Entreprise individuelle,1795
Fournitures de bureau,06-04-2012,Grand public,666
Mobilier,06-04-2012,Entreprise individuelle,405
Fournitures de bureau,07-04-2012,Entreprise,1078
Fournitures de bureau,07-04-2012,Grand public,132
Fournitures de bureau,08-04-2012,Entreprise,112
Mobilier,08-04-2012,Entreprise,63
Fournitures de bureau,09-04-2012,Entreprise,211
Fournitures de bureau,11-04-2012,Grand public,103
Mobilier,11-04-2012,Grand public,236
Produits technologiques,11-04-2012,Grand public,1330
Fournitures de bureau,12-04-2012,Entreprise individuelle,171
Mobilier,12-04-2012,Entreprise individuelle,72
Produits technologiques,12-04-2012,Entreprise,75
Fournitures de bureau,14-04-2012,Grand public,722
Produits technologiques,14-04-2012,Grand public,531
Fournitures de bureau,15-04-2012,Entreprise,33
Fournitures de bureau,16-04-2012,Entreprise,16
Produits technologiques,16-04-2012,Entreprise individuelle,1146
Fournitures de bureau,18-04-2012,Entreprise,1140
Produits technologiques,18-04-2012,Entreprise,2096
Fournitures de bureau,19-04-2012,Grand public,90
Fournitures de bureau,20-04-2012,Grand public,594
Produits technologiques,20-04-2012,Grand public,941
Fournitures de bureau,21-04-2012,Grand public,42
Produits technologiques,21-04-2012,Grand public,440
